tree->Scan("run:lumi:event", "bdt>0.91 & abs(cand_refit_tau_eta)<1.6 & (( ((abs(cand_refit_mass12-1.020)<0.02)*(cand_charge12==0)) + ((abs(cand_refit_mass13-1.020)<0.02)*(cand_charge13==0)) + ((abs(cand_refit_mass23-1.020)<0.02)*(cand_charge23==0)) )==0 & ( ((abs(cand_refit_mass12-0.782)<0.02)*(cand_charge12==0)) + ((abs(cand_refit_mass13-0.782)<0.02)*(cand_charge13==0)) + ((abs(cand_refit_mass23-0.782)<0.02)*(cand_charge23==0)) )==0 & abs(cand_charge)==1 & abs(cand_refit_tau_mass-1.8)<0.2& ((mu1_hlt_doublemu3_trk_tau3mu_type==83 & mu2_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass12>0.5 & cand_mass12<1.7) |   (mu1_hlt_doublemu3_trk_tau3mu_type==83 & mu3_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass13>0.5 & cand_mass13<1.7) |   (mu2_hlt_doublemu3_trk_tau3mu_type==83 & mu3_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass23>0.5 & cand_mass23<1.7) ))", "colsize=20")
*********************************************************************************
*    Row   *                  run *                 lumi *                event *
*   144155 *                    1 *                 5779 *           2599027394 *
*   146634 *                    1 *                28662 *              7721750 *
*   147237 *                    1 *                31229 *           1162499882 *
*   148629 *                    1 *                38912 *            323582693 *
*   149157 *                    1 *                21019 *            864767302 *
*   149933 *                    1 *                25837 *           3031617691 *
*   153945 *                    1 *                31194 *           1146758118 *
*   154537 *                    1 *                43889 *           2562108287 *
*   160778 *                    1 *                12034 *           1117832462 *
*   161518 *                    1 *                13190 *           1638037529 *
*   162317 *                    1 *                16895 *           3304522780 *
*   164182 *                    1 *                 5099 *           2293099861 *
*   167249 *                    1 *                15466 *           2661798602 *
*   168898 *                    1 *                11606 *            925312916 *
*   169880 *                    1 *                35676 *           3162802817 *
*   170125 *                    1 *                39487 *            582198545 *
*   170849 *                    1 *                24724 *           2531097976 *
*   172023 *                    1 *                 6820 *           3067356794 *
*   177291 *                    1 *                15467 *           2662155504 *
*   178326 *                    1 *                24681 *           2511808247 *
*   178674 *                    1 *                25790 *           3010650671 *
*   180711 *                    1 *                17855 *           3736128085 *
*   183001 *                    1 *                20894 *            808593753 *
*   183785 *                    1 *                15120 *           2505924652 *
*   183787 *                    1 *                15120 *           2506055961 *
*   184258 *                    1 *                24012 *           2210750428 *
*   184793 *                    1 *                38443 *            112519662 *
*   185677 *                    1 *                38391 *             89351245 *
*   188915 *                    1 *                34806 *           2771552528 *
*   190050 *                    1 *                15588 *           2716560484 *
*   190788 *                    1 *                21977 *           1295795025 *
*   194371 *                    1 *                34541 *           2652339852 *
*   196353 *                    1 *                20010 *            410838152 *
*   196540 *                    1 *                39533 *            602820011 *
*   198174 *                    1 *                11695 *            965656682 *
*   199310 *                    1 *                 2964 *           1332767942 *
*   202099 *                    1 *                 4477 *           2013713143 *
*   203901 *                    1 *                 3694 *           1661268290 *
*   204122 *                    1 *                 9127 *           4105112621 *
*********************************************************************************
==> 139 selected entries
(long long) 139
